      4 ARO_Index
      1 gb|EU274580.1|+|214-1075|ARO:3001030|TEM-164
      1 gb|EU402393.1|+|0-876|ARO:3001930|CTX-M-69
      1 gb|EU815939.1|+|0-861|ARO:3001029|TEM-163
      1 gb|FJ197316.1|+|0-861|ARO:3001032|TEM-166
      1 gb|FJ360884.1|+|213-1074|ARO:3001033|TEM-167
      1 gb|FJ405211.1|+|0-861|ARO:3000926|TEM-57
      4 gb|FJ768952.1|+|0-1488|ARO:3000237|TolC
      1 gb|FJ807656.1|+|0-861|ARO:3001020|TEM-154
      1 gb|FJ815436.1|+|195-1071|ARO:3001932|CTX-M-71
      1 gb|FJ854362.1|+|2338-2812|ARO:3002862|dfrA7
      1 gb|FJ873740.1|+|0-858|ARO:3001035|TEM-169
      1 gb|FJ919776.1|+|208-1069|ARO:3001034|TEM-168
      1 gb|FN652295.1|+|0-861|ARO:3001042|TEM-177
      1 gb|FR717535.1|+|0-861|ARO:3000910|TEM-40
      1 gb|FR848831.1|+|0-861|ARO:3001375|TEM-184
      1 gb|GQ149347.1|+|5269-6130|ARO:3001037|TEM-171
      1 gb|GQ351346.1|+|0-876|ARO:3001974|CTX-M-114
      1 gb|GU371926.1|-|50304-51165|ARO:3000903|TEM-33
      1 gb|GU550123.1|+|144-1005|ARO:3001041|TEM-176
      1 gb|HG423149.1|+|39-915|ARO:3001962|CTX-M-103
      1 gb|HG934763.1|+|0-861|ARO:3001394|TEM-217
      1 gb|HM246246.1|+|211-1069|ARO:3001047|TEM-187
      1 gb|HQ317449.1|+|0-861|ARO:3001373|TEM-182
      1 gb|HQ398214.1|+|249-1125|ARO:3001960|CTX-M-101
      1 gb|HQ529916.1|+|110-971|ARO:3001045|TEM-183
      1 gb|HQ730118.1|+|5174-5507|ARO:3005009|qacE
      1 gb|HQ877606.1|+|0-861|ARO:3001056|TEM-197
      1 gb|JF274244.1|-|2-863|ARO:3001967|CTX-M-107
      1 gb|JF274245.1|+|1-862|ARO:3001968|CTX-M-108
      1 gb|JF274248.1|-|0-864|ARO:3001969|CTX-M-109
      1 gb|JF795538.1|+|0-861|ARO:3001374|TEM-185
      1 gb|JF949915.1|+|1-754|ARO:3001052|TEM-192
      1 gb|JF966749.1|+|157-1033|ARO:3001976|CTX-M-116
      1 gb|JF969163.1|+|1053-1893|ARO:3000410|sul1
      1 gb|JN211012.1|+|213-1074|ARO:3001048|TEM-188
