ARO Accession	CVTERM ID
ARO:3002693	39127
ARO:3002694	39128
ARO:3002695	39129
ARO:3002696	39130
ARO:3004665	42708
ARO:3005043	43241
ARO:3002698	39132
ARO:3002699	39133
ARO:3002700	39134
ARO:3002702	39136
ARO:3002703	39137
ARO:3002012	38412
ARO:3002021	38421
ARO:3002112	38512
ARO:3002113	38513
ARO:3002114	38514
ARO:3002115	38515
ARO:3002116	38516
ARO:3002117	38517
ARO:3002118	38518
ARO:3002118	38518
ARO:3002119	38519
ARO:3002120	38520
ARO:3002121	38521
ARO:3002022	38422
ARO:3002071	38471
ARO:3002122	38522
ARO:3002123	38523
ARO:3002124	38524
ARO:3002125	38525
ARO:3002126	38526
ARO:3002127	38527
ARO:3002128	38528
ARO:3002129	38529
ARO:3002130	38530
ARO:3002023	38423
ARO:3003129	39706
ARO:3003130	39707
ARO:3003132	39709
ARO:3003133	39710
ARO:3003135	39712
ARO:3003136	39713
ARO:3003137	39714
ARO:3002024	38424
ARO:3003138	39715
ARO:3003170	39747
ARO:3003170	39747
ARO:3003652	40262
ARO:3003653	40263
ARO:3003654	40264
ARO:3004778	42893
ARO:3004854	42990
ARO:3006457	44919
ARO:3005220	43576
ARO:3005191	43544
ARO:3002025	38425
ARO:3005185	43538
ARO:3005196	43549
ARO:3005195	43548
ARO:3005204	43560
ARO:3005219	43575
ARO:3005197	43551
ARO:3005181	43534
ARO:3005180	43533
ARO:3005192	43545
ARO:3005190	43543
ARO:3002026	38426
ARO:3005016	43207
ARO:3005217	43573
ARO:3005216	43572
ARO:3005218	43574
ARO:3005194	43547
ARO:3005200	43555
ARO:3005182	43535
ARO:3005198	43552
ARO:3005176	43529
ARO:3006458	44920
ARO:3002027	38427
ARO:3005183	43536
ARO:3005187	43540
ARO:3005184	43537
ARO:3005193	43546
ARO:3005186	43539
ARO:3005188	43541
ARO:3005189	43542
ARO:3006459	44921
ARO:3006460	44922
ARO:3006461	44923
ARO:3002028	38428
ARO:3006462	44924
ARO:3005199	43554
ARO:3005177	43530
ARO:3006463	44925
ARO:3002029	38429
ARO:3007695	46483
ARO:3002030	38430
ARO:3002013	38413
ARO:3002031	38431
ARO:3002032	38432
ARO:3002033	38433
ARO:3002034	38434
ARO:3002035	38435
ARO:3002036	38436
ARO:3002037	38437
ARO:3002038	38438
ARO:3002039	38439
ARO:3002040	38440
ARO:3002041	38441
ARO:3002042	38442
ARO:3002043	38443
ARO:3002044	38444
ARO:3002045	38445
ARO:3002046	38446
ARO:3002047	38447
ARO:3002048	38448
ARO:3002049	38449
ARO:3002050	38450
ARO:3002015	38415
ARO:3002051	38451
ARO:3002052	38452
ARO:3002053	38453
ARO:3002054	38454
ARO:3002055	38455
ARO:3002056	38456
ARO:3002057	38457
ARO:3002058	38458
ARO:3002059	38459
ARO:3002060	38460
ARO:3002016	38416
ARO:3002061	38461
ARO:3002062	38462
ARO:3002064	38464
ARO:3002065	38465
ARO:3002066	38466
ARO:3002067	38467
ARO:3002068	38468
